Frame Num,Type,Intent,Distance-closest,Blend in,Clutter,Edge,Expect Wrong
30,0,1,0,0,1,0,0
151,2,0,1,0,1,0,0
202,1,1,1,0,0,1,1
350,2,1,1,0,1,0,0
557,2,0,1,0,0,1,0
800,1,0,2,1,0,0,1
974,0,1,1,1,0,0,1
1200,1,1,1,0,0,1,1
1300,3,0,0,0,1,0,0
1605,3,0,0,0,0,0,0
1800,0,0,2,1,0,0,0
2077,3,0,0,0,0,0,0
2333,2,1,1,0,0,1,0
2598,0,1,3,1,0,0,1
2700,1,0,2,1,0,0,1
2900,0,0,0,0,0,0,1
3100,0,0,0,0,0,0,0
3462,1,0,3,1,0,0,1
3820,1,0,2,0,0,1,0
4100,1,0,1,0,0,1,0
4300,1,1,1,0,1,0,0
4500,0,0,2,0,1,0,0
4601,3,0,0,0,0,0,0
4838,1,0,1,0,0,1,0
5175,0,1,2,1,0,0,1
5339,1,0,1,0,0,1,0
5600,1,1,2,0,0,1,0
5800,2,1,2,0,1,0,0
6159,2,1,2,0,0,1,0
6402,1,0,1,0,0,0,0
6651,0,0,0,0,0,0,0
6948,0,0,0,0,0,0,0
7297,1,0,3,1,0,0,1
7451,1,0,1,0,0,0,0
7630,1,0,1,1,0,0,0
7694,0,0,0,0,0,0,0
8000,0,0,0,0,0,0,0
8262,1,0,1,1,0,0,1
8400,0,0,0,0,1,0,0
8683,1,0,2,1,0,0,1
8855,0,0,0,0,1,0,0
